purchase_id,customer_id,service_plan_id,purchase_date,amount_paid,payment_method
1,873,2,2020-04-11,267.23,Bank Transfer
2,820,4,2024-05-27,163.62,Bank Transfer
3,574,4,2021-08-23,346.5,Bank Transfer
4,514,1,2023-08-20,479.65,Credit Card
5,297,3,2024-06-03,287.21,PayPal
6,212,3,2022-01-02,395.5,PayPal
7,856,3,2023-03-16,142.17,Credit Card
8,298,1,2020-08-06,123.05,Credit Card
9,103,3,2022-06-19,398.96,Credit Card
10,196,2,2022-12-16,421.69,PayPal
11,987,4,2021-03-01,492.25,PayPal
12,175,4,2020-11-22,394.74,PayPal
13,715,2,2024-05-24,229.3,PayPal
14,88,1,2022-03-03,47,Bank Transfer
15,252,3,2020-03-23,126.85,PayPal
16,514,3,2024-06-08,321.96,Cash
17,919,1,2020-08-10,434.93,Cash
18,776,1,2024-08-02,453.3,Cash
19,547,3,2023-09-20,480.29,PayPal
20,529,1,2024-01-25,308.43,Credit Card
21,364,4,2022-07-22,158.41,PayPal
22,587,3,2024-10-10,292.52,Bank Transfer
23,601,3,2020-04-09,220.82,Bank Transfer
24,215,3,2022-02-07,34.8,Cash
25,55,1,2020-07-03,312.73,Bank Transfer
26,150,2,2023-06-04,153.11,Credit Card
27,384,3,2021-08-21,32.1,Credit Card
28,579,1,2022-07-28,38.98,PayPal
29,31,2,2023-07-21,110.16,Credit Card
30,597,1,2020-04-20,409.33,Cash
31,820,2,2021-11-29,421.03,PayPal
32,591,1,2023-06-30,153.52,Credit Card
33,419,1,2024-03-06,68.74,Credit Card
34,521,4,2022-06-23,399.58,Bank Transfer
35,274,4,2022-08-14,417.63,Bank Transfer
36,857,4,2020-07-06,277.79,PayPal
37,470,2,2022-08-13,100.16,Credit Card
38,614,1,2021-08-26,381.5,Cash
39,464,4,2021-05-25,149.27,Credit Card
40,131,1,2022-10-25,343.98,Credit Card
41,970,1,2022-05-26,135.84,Bank Transfer
42,965,2,2020-04-20,145.47,Bank Transfer
43,590,4,2021-01-27,282.54,Bank Transfer
44,830,1,2020-01-04,49.28,Bank Transfer
45,3,4,2021-11-15,496.78,Cash
46,285,1,2022-03-18,391.52,PayPal
47,708,1,2022-07-17,41.23,Cash
48,223,4,2020-08-27,153.92,Credit Card
49,349,4,2024-05-20,360.93,Credit Card
50,150,3,2020-07-22,479.61,Credit Card
51,698,1,2022-02-26,19.37,Credit Card
52,768,3,2021-02-19,67.15,PayPal
53,707,1,2024-05-09,408.28,Bank Transfer
54,196,1,2021-09-01,310.82,Bank Transfer
55,297,2,2020-12-05,355.52,Cash
56,477,2,2020-11-02,14.71,Bank Transfer
57,566,1,2021-03-31,270.94,PayPal
58,972,3,2020-09-19,256.37,Cash
59,703,3,2023-12-29,461.4,Credit Card
60,459,1,2022-10-10,447.8,Credit Card
61,845,4,2022-02-20,304.38,Cash
62,464,3,2020-08-20,332.54,Bank Transfer
63,444,4,2021-06-15,99.15,PayPal
64,372,4,2021-05-08,70.4,PayPal
65,42,4,2020-08-17,115.52,Cash
66,626,3,2022-07-02,94.88,Credit Card
67,154,3,2020-03-24,97.3,Credit Card
68,154,3,2022-11-13,240.35,PayPal
69,983,2,2022-02-22,338.81,Cash
70,798,4,2023-06-30,424.83,Bank Transfer
71,657,3,2023-02-14,421.6,Credit Card
72,280,1,2023-12-30,58.87,Bank Transfer
73,634,4,2024-08-16,324.59,Bank Transfer
74,27,3,2020-10-31,31.48,PayPal
75,990,1,2023-04-02,450.31,Credit Card
76,342,1,2023-04-10,168.51,Cash
77,58,4,2020-05-18,83.38,PayPal
78,800,1,2021-11-23,398.12,PayPal
79,415,2,2020-03-07,63.2,Bank Transfer
80,968,2,2023-10-14,28.03,Bank Transfer
81,927,4,2022-03-10,167.87,Credit Card
82,618,4,2020-02-08,77.64,Cash
83,606,4,2022-12-23,452.81,Bank Transfer
84,922,2,2020-09-16,269.27,Cash
85,172,1,2023-09-17,129.39,Credit Card
86,671,3,2021-09-23,180.23,Cash
87,680,1,2022-10-23,161.53,Bank Transfer
88,515,2,2024-07-15,456.77,Credit Card
89,750,4,2023-11-15,204.79,Bank Transfer
90,102,2,2020-05-16,208.5,Cash
91,479,3,2023-06-23,11.49,Credit Card
92,773,2,2021-12-25,140.93,Cash
93,228,3,2024-04-20,116.78,Bank Transfer
94,57,3,2020-01-18,413.23,PayPal
95,713,3,2021-01-08,448.52,Cash
96,590,4,2024-09-19,333.39,Cash
97,315,3,2022-05-11,126.81,Credit Card
98,629,1,2021-07-02,154.24,PayPal
